soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",1.63,2.18,1.00,1.49,2.87,7.00,10.08,13.48,6.18,9.21,17.75,43.29,CEI
43-3041.00,Gambling Cage Workers,2.90,1.00,1.00,2.91,4.66,5.98,15.72,5.42,5.42,15.77,25.26,32.41,CES
43-3051.00,Payroll and Timekeeping Clerks,1.85,1.05,1.00,1.91,3.32,7.00,11.47,6.51,6.20,11.84,20.58,43.40,CES
43-3061.00,Procurement Clerks,3.17,1.71,1.00,1.63,4.13,7.00,17.01,9.17,5.36,8.74,22.16,37.55,CER
43-3071.00,Tellers,2.27,1.42,1.00,2.44,4.19,6.88,12.47,7.80,5.49,13.41,23.02,37.80,CES
43-4011.00,Brokerage Clerks,2.10,1.27,1.00,2.32,4.51,6.96,11.56,6.99,5.51,12.78,24.83,38.33,CES
43-4021.00,Correspondence Clerks,1.32,2.52,1.57,2.70,3.43,6.86,7.17,13.70,8.53,14.67,18.64,37.28,CES
43-4031.00,"Court, Municipal, and License Clerks",1.97,1.91,1.11,3.52,4.24,6.16,10.42,10.10,5.87,18.61,22.42,32.58,CES
43-4041.00,"Credit Authorizers, Checkers, and Clerks",1.00,1.87,1.00,3.39,4.48,7.00,5.34,9.98,5.34,18.09,23.91,37.35,CES
43-4051.00,Customer Service Representatives,1.97,1.63,1.00,3.77,5.08,6.32,9.96,8.24,5.06,19.07,25.70,31.97,CES
43-4061.00,"Eligibility Interviewers, Government Programs",1.00,2.45,1.00,4.46,3.92,6.32,5.22,12.79,5.22,23.29,20.47,33.00,CSE
43-4071.00,File Clerks,2.41,1.28,1.01,2.05,1.76,7.00,15.54,8.25,6.51,13.22,11.35,45.13,CRS
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2.62,1.00,1.35,4.49,3.80,5.72,13.80,5.27,7.11,23.66,20.02,30.14,CSE
43-4111.00,"Interviewers, Except Eligibility and Loan",1.00,1.92,1.38,4.12,3.66,6.01,5.53,10.61,7.63,22.78,20.23,33.22,CSE
43-4121.00,"Library Assistants, Clerical",2.91,2.00,1.29,3.77,2.18,6.89,15.28,10.50,6.78,19.80,11.45,36.19,CSR
43-4131.00,Loan Interviewers and Clerks,1.00,2.18,1.00,3.40,4.61,6.92,5.23,11.41,5.23,17.79,24.12,36.21,CES
43-4141.00,New Accounts Clerks,1.37,1.91,1.00,3.66,4.65,6.86,7.04,9.82,5.14,18.82,23.91,35.27,CES
43-4151.00,Order Clerks,2.57,1.00,1.00,2.52,4.54,6.97,13.82,5.38,5.38,13.55,24.41,37.47,CER
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",1.43,1.35,1.00,3.24,3.91,7.00,7.98,7.53,5.58,18.07,21.81,39.04,CES
43-4171.00,Receptionists and Information Clerks,1.95,1.79,1.10,3.57,4.26,6.30,10.28,9.44,5.80,18.82,22.46,33.21,CES
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,2.12,1.00,1.32,4.39,4.08,5.54,11.49,5.42,7.15,23.79,22.11,30.03,CSE
43-5011.00,Cargo and Freight Agents,3.15,1.52,1.00,2.14,4.83,6.32,16.61,8.02,5.27,11.29,25.47,33.33,CER
43-5011.01,Freight Forwarders,3.51,2.59,1.00,1.84,3.94,5.60,18.99,14.02,5.41,9.96,21.32,30.30,CER
43-5021.00,Couriers and Messengers,4.47,1.07,1.00,2.96,2.86,5.07,25.65,6.14,5.74,16.98,16.41,29.09,CRS
43-5031.00,Public Safety Telecommunicators,4.33,2.91,1.00,3.65,2.89,5.52,21.33,14.33,4.93,17.98,14.24,27.19,CRS
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",5.27,1.42,1.00,2.69,2.92,5.40,28.18,7.59,5.35,14.39,15.61,28.88,CRE
43-5041.00,"Meter Readers, Utilities",4.91,2.53,1.00,2.15,1.28,6.58,26.61,13.71,5.42,11.65,6.94,35.66,CRI
43-5051.00,Postal Service Clerks,3.21,1.00,1.00,2.57,2.71,6.55,18.84,5.87,5.87,15.08,15.90,38.44,CRE
43-5052.00,Postal Service Mail Carriers,3.56,1.00,1.00,2.69,2.91,6.27,20.42,5.74,5.74,15.43,16.70,35.97,CRE
